Full Name,Email,Phone Number,Left Date,Department,Position,Company
Fahad Al-Saud,fahad.al-saud@example.com,56399126,08/05/2020,Information Technology,Marketing Specialist,Alinma Bank
Khalifah Al-Mutairi,khalifah.al-mutairi@example.com,56153976,7/24/2020,Quality Assurance,Business Analyst,Ma’aden
Saif Al-Othman,saif.al-othman@example.com,54914987,07/12/2020,Training,IT Specialist,STC
Khalifah Al-Juhani,khalifah.al-juhani@example.com,55373491,07/08/2020,Quality Assurance,Support Specialist,Alinma Bank
Mansour Al-Otaibi,mansour.al-otaibi@example.com,52563816,07/07/2020,Procurement,Operations Specialist,Alinma Bank
Khalifah Al-Harbi,khalifah.al-harbi@example.com,59956674,07/07/2020,Business Development,Accountant,Ma’aden
Khalifah Al-Asmari,khalifah.al-asmari@example.com,56558694,07/01/2020,Human Resources,Procurement Specialist,Mobily
Mishal Al-Faisal,mishal.al-faisal@example.com,53557964,06/11/2020,Information Technology,Support Specialist,Al Rajhi Bank
Bader Al-Subaie,bader.al-subaie@example.com,54152488,06/08/2020,Product Management,IT Specialist,Saudi Telecom Company
Saud Al-Rajhi,saud.al-rajhi@example.com,59132744,06/02/2020,Operations,Training Specialist,Almarai
Khalifah Al-Mutairi,khalifah.al-mutairi@example.com,58347488,05/11/2020,Legal,Product Manager,SABIC
Majid Al-Khalid,majid.al-khalid@example.com,54644429,05/08/2020,Product Management,Product Manager,STC
Hani Al-Saud,hani.al-saud@example.com,55018412,4/25/2020,Finance,HR Specialist,Mobily
Rayan Al-Qahtan,rayan.al-qahtan@example.com,51084738,4/20/2020,Design,Manager,National Commercial Bank
Ayman Al-Anazi,ayman.al-anazi@example.com,59848322,4/17/2020,Customer Support,HR Specialist,Alinma Bank
Adel Al-Rajhi,adel.al-rajhi@example.com,55094131,04/12/2020,Logistics,Accountant,Saudi Electricity Company
Turki Al-Othman,turki.al-othman@example.com,59707652,04/07/2020,Human Resources,Senior Manager,Saudi Electricity Company
Yahya Al-Zahrani,yahya.al-zahrani@example.com,51885436,04/06/2020,Finance,Procurement Specialist,Saudi Ports Authority
Rashed Al-Shammari,rashed.al-shammari@example.com,51760288,3/25/2020,Design,Senior Engineer,Saudi Airlines
Rayan Al-Zahrani,rayan.al-zahrani@example.com,57850630,3/14/2020,Operations,IT Specialist,SABIC
Khalid Al-Sharif,khalid.al-sharif@example.com,59466669,03/07/2020,Research and Development,Customer Success Manager,SABIC
Abdulaziz Al-Juhani,abdulaziz.al-juhani@example.com,51784231,03/04/2020,Customer Success,Marketing Specialist,Mobily
Hisham Al-Mutairi,hisham.al-mutairi@example.com,59746680,1/25/2020,Marketing,Senior Manager,Saudi Airlines
Saeed Al-Shammari,saeed.al-shammari@example.com,56669507,1/18/2020,Operations,Support Specialist,Saudi Aramco
Khalid Al-Faisal,khalid.al-faisal@example.com,56158531,01/12/2020,Marketing,Procurement Specialist,National Commercial Bank
Jaber Al-Zahrani,jaber.al-zahrani@example.com,57070726,12/19/2019,Business Development,Customer Success Manager,Ma’aden
Abdullah Al-Rajhi,abdullah.al-rajhi@example.com,51652384,12/01/2019,Research and Development,Quality Assurance Engineer,Mobily
Majid Al-Rashid,majid.al-rashid@example.com,54635066,11/25/2019,Design,Business Analyst,Al Rajhi Bank
Majid Al-Anazi,majid.al-anazi@example.com,59575157,11/24/2019,Information Technology,Legal Advisor,Saudi Electricity Company
Khalid Al-Qahtani,khalid.al-qahtani@example.com,51229072,11/24/2019,Quality Assurance,HR Specialist,Almarai
Abdullah Al-Qahtani,abdullah.al-qahtani@example.com,51759719,11/18/2019,Design,Engineer,National Commercial Bank
Fahad Al-Shammari,fahad.al-shammari@example.com,57838157,11/14/2019,Quality Assurance,Software Engineer,Alinma Bank
Hamad Al-Mutairi,hamad.al-mutairi@example.com,53686987,11/13/2019,Engineering,Quality Assurance Engineer,Alinma Bank
Hamad Al-Sharif,hamad.al-sharif@example.com,54838661,10/13/2019,Legal,Product Manager,National Commercial Bank
Zaid Al-Qahtani,zaid.al-qahtani@example.com,58235428,10/09/2019,Quality Assurance,Training Specialist,STC
Sultan Al-Dosari,sultan.al-dosari@example.com,56665798,10/03/2019,Customer Support,Sales Representative,STC
Hassan Al-Saud,hassan.al-saud@example.com,55381890,9/16/2019,Engineering,Software Engineer,National Commercial Bank
Riyadh Al-Otaibi,riyadh.al-otaibi@example.com,55385384,09/04/2019,Logistics,IT Specialist,Saudi Electricity Company
Zaid Al-Mutairi,zaid.al-mutairi@example.com,57974791,09/03/2019,Product Management,Procurement Specialist,SABIC
Saleh Al-Shammari,saleh.al-shammari@example.com,56374670,09/03/2019,Quality Assurance,Accountant,Almarai
Majid Al-Khalid,majid.al-khalid@example.com,52286877,09/01/2019,Training,Procurement Specialist,Saudi Electricity Company
Riyadh Al-Dosari,riyadh.al-dosari@example.com,54573042,8/28/2019,Logistics,Procurement Specialist,National Commercial Bank
Muath Al-Shammari,muath.al-shammari@example.com,57567215,8/18/2019,Legal,Sales Representative,Al Rajhi Bank
Sultan Al-Zahrani,sultan.al-zahrani@example.com,53775233,08/07/2019,Customer Support,HR Specialist,Alinma Bank
Bader Al-Qahtan,bader.al-qahtan@example.com,54618034,08/04/2019,Human Resources,Software Engineer,Mobily
Hassan Al-Shammari,hassan.al-shammari@example.com,53659161,7/25/2019,Marketing,Operations Specialist,Almarai
Sultan Al-Otaibi,sultan.al-otaibi@example.com,59403871,7/15/2019,Procurement,Software Engineer,Saudi Aramco
Adel Al-Dosari,adel.al-dosari@example.com,52705718,6/24/2019,Customer Success,Legal Advisor,Saudi Telecom Company
Anas Al-Othman,anas.al-othman@example.com,53927462,6/21/2019,Customer Support,Engineer,Almarai
Hisham Al-Zahrani,hisham.al-zahrani@example.com,58140659,6/15/2019,Customer Support,Senior Engineer,SABIC
Mansour Al-Qahtan,mansour.al-qahtan@example.com,53861371,5/21/2019,Customer Support,Business Analyst,Saudi Ports Authority
Bader Al-Khalid,bader.al-khalid@example.com,56124742,5/16/2019,Finance,Support Specialist,Almarai
Yousef Al-Othman,yousef.al-othman@example.com,52429192,5/15/2019,Marketing,IT Specialist,Saudi Aramco
Saif Al-Subaie,saif.al-subaie@example.com,52096796,05/06/2019,Research and Development,Assistant Manager,SABIC
Zaid Al-Zahrani,zaid.al-zahrani@example.com,53166277,4/29/2019,Operations,HR Specialist,SABIC
Adel Al-Qahtani,adel.al-qahtani@example.com,59791970,4/25/2019,Design,Manager,Mobily
Saud Al-Saud,saud.al-saud@example.com,51276629,4/22/2019,Operations,HR Specialist,Al Rajhi Bank
Talal Al-Ghamdi,talal.al-ghamdi@example.com,51460943,4/20/2019,Engineering,Support Specialist,Saudi Aramco
Khalifah Al-Sharif,khalifah.al-sharif@example.com,56373263,04/08/2019,Business Development,Senior Engineer,Mobily
Khalid Al-Zahrani,khalid.al-zahrani@example.com,53711063,3/21/2019,Customer Success,Manager,Saudi Electricity Company
Riyadh Al-Ghamdi,riyadh.al-ghamdi@example.com,59105232,3/19/2019,Sales,Software Engineer,National Commercial Bank
Mansour Al-Otaibi,mansour.al-otaibi@example.com,56946409,3/19/2019,Engineering,Product Manager,Al Rajhi Bank
Sultan Al-Shammari,sultan.al-shammari@example.com,51439519,3/17/2019,Research and Development,HR Specialist,National Commercial Bank
Fahad Al-Qahtani,fahad.al-qahtani@example.com,54957699,3/16/2019,Engineering,Support Specialist,Saudi Airlines
Abdulaziz Al-Saud,abdulaziz.al-saud@example.com,59472189,3/13/2019,Customer Success,Product Manager,Mobily
Bader Al-Shammari,bader.al-shammari@example.com,59725676,2/22/2019,Legal,Accountant,Saudi Airlines
Khalifah Al-Harbi,khalifah.al-harbi@example.com,55300412,2/18/2019,Training,Support Specialist,Mobily
Abdulrahman Al-Ghamdi,abdulrahman.al-ghamdi@example.com,55755808,02/09/2019,Quality Assurance,Training Specialist,STC
Turki Al-Khalid,turki.al-khalid@example.com,52206245,1/30/2019,Sales,Assistant Manager,STC
Yousef Al-Sharif,yousef.al-sharif@example.com,58927312,1/21/2019,Quality Assurance,Legal Advisor,Al Rajhi Bank
Talha Al-Rajhi,talha.al-rajhi@example.com,57333001,12/31/2018,Design,HR Specialist,Saudi Airlines
Mishal Al-Khalid,mishal.al-khalid@example.com,59057915,12/27/2018,Quality Assurance,HR Specialist,Saudi Ports Authority
Ayman Al-Rajhi,ayman.al-rajhi@example.com,55818533,12/09/2018,Human Resources,Sales Representative,Saudi Telecom Company
Abdulrahman Al-Mutairi,abdulrahman.al-mutairi@example.com,53140521,12/01/2018,Customer Support,Engineer,Alinma Bank
Talal Al-Dosari,talal.al-dosari@example.com,59455179,11/18/2018,Design,Software Engineer,Al Rajhi Bank
Majid Al-Rashid,majid.al-rashid@example.com,57287491,11/12/2018,Business Development,Training Specialist,National Commercial Bank
Khalifah Al-Rajhi,khalifah.al-rajhi@example.com,58791845,10/26/2018,Customer Support,Support Specialist,Ma’aden
Rashed Al-Zahrani,rashed.al-zahrani@example.com,58848367,10/12/2018,Legal,Legal Advisor,National Commercial Bank
Abdulrahman Al-Khalid,abdulrahman.al-khalid@example.com,55714594,10/11/2018,Customer Support,Senior Manager,Alinma Bank
Mansour Al-Buhairi,mansour.al-buhairi@example.com,51272787,9/28/2018,Finance,Business Analyst,Saudi Aramco
Ayman Al-Harbi,ayman.al-harbi@example.com,59075268,9/21/2018,Design,Customer Success Manager,Saudi Telecom Company
Saeed Al-Mutairi,saeed.al-mutairi@example.com,57030779,09/10/2018,Logistics,Support Specialist,Saudi Airlines
Rashed Al-Othman,rashed.al-othman@example.com,59230213,09/06/2018,Customer Support,IT Specialist,Saudia
Majid Al-Sharif,majid.al-sharif@example.com,52855212,09/02/2018,Customer Support,Quality Assurance Engineer,STC
Mazin Al-Ghamdi,mazin.al-ghamdi@example.com,55274539,09/01/2018,Quality Assurance,Training Specialist,Almarai
Saleh Al-Juhani,saleh.al-juhani@example.com,58474907,8/24/2018,Legal,Accountant,SABIC
Omar Al-Dosari,omar.al-dosari@example.com,54783764,8/18/2018,Design,Support Specialist,Saudi Ports Authority
Omar Al-Harbi,omar.al-harbi@example.com,52891911,8/16/2018,Design,Software Engineer,Saudia
Abdulaziz Al-Othman,abdulaziz.al-othman@example.com,54807821,08/11/2018,Customer Support,Accountant,Saudi Telecom Company
Fahad Al-Subaie,fahad.al-subaie@example.com,52861794,08/09/2018,Finance,Business Analyst,Alinma Bank
Zaid Al-Qahtan,zaid.al-qahtan@example.com,51578212,08/05/2018,Research and Development,HR Specialist,Almarai
Saud Al-Otaibi,saud.al-otaibi@example.com,55821899,08/04/2018,Research and Development,Product Manager,Saudi Telecom Company
Anas Al-Buhairi,anas.al-buhairi@example.com,55463999,7/26/2018,Business Development,Business Analyst,STC
Mazin Al-Ghamdi,mazin.al-ghamdi@example.com,51222249,7/24/2018,Sales,Engineer,Saudi Airlines
Saud Al-Buhairi,saud.al-buhairi@example.com,53808302,07/01/2018,Finance,Engineer,Almarai
Khalifah Al-Qahtani,khalifah.al-qahtani@example.com,52387691,6/25/2018,Engineering,Legal Advisor,Alinma Bank
Anas Al-Ghamdi,anas.al-ghamdi@example.com,51008056,06/02/2018,Design,Sales Representative,Saudi Telecom Company
Hisham Al-Rashid,hisham.al-rashid@example.com,59776819,06/02/2018,Logistics,Training Specialist,Ma’aden
Majid Al-Mutairi,majid.al-mutairi@example.com,52839750,5/23/2018,Product Management,Accountant,SABIC
Turki Al-Saud,turki.al-saud@example.com,53671026,5/22/2018,Finance,Software Engineer,Saudi Aramco
Abdulrahman Al-Qahtan,abdulrahman.al-qahtan@example.com,53532617,05/11/2018,Business Development,Legal Advisor,Mobily
Saif Al-Zahrani,saif.al-zahrani@example.com,52200240,05/10/2018,Information Technology,Software Engineer,Alinma Bank
Anas Al-Qahtan,anas.al-qahtan@example.com,55673099,05/08/2018,Legal,IT Specialist,Saudi Telecom Company
Mansour Al-Faisal,mansour.al-faisal@example.com,57296594,4/30/2018,Quality Assurance,IT Specialist,Saudia
Abdullah Al-Khalid,abdullah.al-khalid@example.com,54031279,4/27/2018,Customer Success,Software Engineer,Saudi Telecom Company
Rayan Al-Zahrani,rayan.al-zahrani@example.com,58179034,4/24/2018,Business Development,Accountant,Saudia
Khalid Al-Qahtan,khalid.al-qahtan@example.com,55603032,4/21/2018,Engineering,Support Specialist,Al Rajhi Bank
Riyadh Al-Shammari,riyadh.al-shammari@example.com,59149640,4/19/2018,Product Management,Quality Assurance Engineer,SABIC
Nawaf Al-Othman,nawaf.al-othman@example.com,59636795,4/19/2018,Sales,Customer Success Manager,Saudi Telecom Company
Saud Al-Subaie,saud.al-subaie@example.com,57583937,04/12/2018,Human Resources,Product Manager,National Commercial Bank
Talha Al-Rajhi,talha.al-rajhi@example.com,56540654,04/06/2018,Training,IT Specialist,SABIC
Nasser Al-Othman,nasser.al-othman@example.com,53029557,04/01/2018,Marketing,Manager,Saudia
Muath Al-Subaie,muath.al-subaie@example.com,54277107,3/25/2018,Product Management,Training Specialist,Saudia
Abdulaziz Al-Shammari,abdulaziz.al-shammari@example.com,54171147,3/21/2018,Design,Product Manager,Saudi Airlines
Khalifah Al-Mutairi,khalifah.al-mutairi@example.com,51765604,3/20/2018,Research and Development,Engineer,Saudi Ports Authority
Bader Al-Ghamdi,bader.al-ghamdi@example.com,57173405,3/20/2018,Procurement,Assistant Manager,Saudi Telecom Company
Adel Al-Ghamdi,adel.al-ghamdi@example.com,58118301,03/05/2018,Training,Manager,Saudi Aramco
Yahya Al-Shammari,yahya.al-shammari@example.com,52829476,03/04/2018,Engineering,Product Manager,Saudi Electricity Company
Saud Al-Sharif,saud.al-sharif@example.com,59620304,2/25/2018,Procurement,Legal Advisor,Al Rajhi Bank
Saleh Al-Otaibi,saleh.al-otaibi@example.com,59991652,2/18/2018,Finance,Marketing Specialist,Saudi Telecom Company
Abdulrahman Al-Ghamdi,abdulrahman.al-ghamdi@example.com,51785459,2/18/2018,Training,Manager,Saudia
Bader Al-Harbi,bader.al-harbi@example.com,54526240,02/08/2018,Customer Support,Manager,SABIC
Hamad Al-Faisal,hamad.al-faisal@example.com,55730964,02/07/2018,Procurement,HR Specialist,SABIC
Hassan Al-Juhani,hassan.al-juhani@example.com,55941125,02/04/2018,Customer Support,Quality Assurance Engineer,National Commercial Bank
Riyadh Al-Buhairi,riyadh.al-buhairi@example.com,56704662,02/02/2018,Design,Customer Success Manager,Saudi Telecom Company
Mishal Al-Subaie,mishal.al-subaie@example.com,54559260,1/30/2018,Operations,Product Manager,Saudi Ports Authority
Saud Al-Anazi,saud.al-anazi@example.com,57603618,1/26/2018,Customer Support,Engineer,National Commercial Bank
Mazin Al-Rashid,mazin.al-rashid@example.com,58022600,1/14/2018,Legal,Senior Engineer,National Commercial Bank
Ayman Al-Buhairi,ayman.al-buhairi@example.com,51803272,1/13/2018,Training,Senior Manager,Mobily
Anas Al-Ghamdi,anas.al-ghamdi@example.com,56402597,12/20/2017,Design,Customer Success Manager,Saudi Aramco
Nasser Al-Qahtan,nasser.al-qahtan@example.com,58137375,12/17/2017,Logistics,IT Specialist,Alinma Bank
Muath Al-Harbi,muath.al-harbi@example.com,51575520,12/12/2017,Finance,Assistant Manager,Almarai
Muath Al-Khalid,muath.al-khalid@example.com,52929671,12/11/2017,Engineering,Support Specialist,Saudi Ports Authority
Riyadh Al-Dosari,riyadh.al-dosari@example.com,56940951,12/08/2017,Sales,Senior Manager,National Commercial Bank
Mohammed Al-Ghamdi,mohammed.al-ghamdi@example.com,57425699,12/08/2017,Research and Development,Accountant,National Commercial Bank
Saeed Al-Buhairi,saeed.al-buhairi@example.com,57287996,11/27/2017,Product Management,Support Specialist,Al Rajhi Bank
Talal Al-Anazi,talal.al-anazi@example.com,55986068,11/21/2017,Business Development,Legal Advisor,Almarai
Sultan Al-Saud,sultan.al-saud@example.com,51325493,11/12/2017,Marketing,Marketing Specialist,SABIC
Majid Al-Khalid,majid.al-khalid@example.com,53960735,11/11/2017,Product Management,Senior Manager,Mobily
Zaid Al-Saud,zaid.al-saud@example.com,52603853,11/09/2017,Information Technology,Marketing Specialist,Ma’aden
Ammar Al-Qahtan,ammar.al-qahtan@example.com,59624711,10/27/2017,Design,Accountant,Ma’aden
Saleh Al-Faisal,saleh.al-faisal@example.com,57967716,10/26/2017,Quality Assurance,Marketing Specialist,Mobily
Abdulaziz Al-Otaibi,abdulaziz.al-otaibi@example.com,57464495,10/17/2017,Training,Senior Manager,Saudi Aramco
Hani Al-Mutairi,hani.al-mutairi@example.com,57124691,10/13/2017,Customer Support,Marketing Specialist,Al Rajhi Bank
Ayman Al-Mutairi,ayman.al-mutairi@example.com,52510811,10/08/2017,Information Technology,Quality Assurance Engineer,Saudi Airlines
Talal Al-Faisal,talal.al-faisal@example.com,59178218,10/08/2017,Product Management,Legal Advisor,Almarai
Hisham Al-Mutairi,hisham.al-mutairi@example.com,53849690,10/06/2017,Customer Support,Product Manager,Saudi Electricity Company
Mazin Al-Rajhi,mazin.al-rajhi@example.com,59548247,9/29/2017,Quality Assurance,Procurement Specialist,Saudi Aramco
Saleh Al-Mutairi,saleh.al-mutairi@example.com,55011310,9/21/2017,Sales,Accountant,Almarai
Abdulaziz Al-Saud,abdulaziz.al-saud@example.com,54135289,9/18/2017,Marketing,Legal Advisor,Alinma Bank
Saleh Al-Shammari,saleh.al-shammari@example.com,54791383,9/16/2017,Customer Support,IT Specialist,STC
Fahad Al-Zahrani,fahad.al-zahrani@example.com,53430590,09/10/2017,Engineering,Assistant Manager,National Commercial Bank
Omar Al-Subaie,omar.al-subaie@example.com,55325111,08/11/2017,Marketing,Support Specialist,Saudi Telecom Company
Abdulrahman Al-Juhani,abdulrahman.al-juhani@example.com,56761863,7/21/2017,Procurement,Training Specialist,Saudi Aramco
Khalid Al-Otaibi,khalid.al-otaibi@example.com,59633570,6/27/2017,Business Development,Senior Manager,Alinma Bank
Nasser Al-Buhairi,nasser.al-buhairi@example.com,54856951,6/26/2017,Finance,IT Specialist,Almarai
Turki Al-Faisal,turki.al-faisal@example.com,52056918,6/18/2017,Sales,HR Specialist,Al Rajhi Bank
Zaid Al-Saud,zaid.al-saud@example.com,58371292,6/16/2017,Logistics,IT Specialist,STC
Abdulaziz Al-Subaie,abdulaziz.al-subaie@example.com,58743271,06/08/2017,Quality Assurance,Business Analyst,Alinma Bank
Jaber Al-Zahrani,jaber.al-zahrani@example.com,53533684,06/07/2017,Design,Manager,SABIC
Mishal Al-Qahtan,mishal.al-qahtan@example.com,59676279,06/01/2017,Customer Support,HR Specialist,SABIC
Ammar Al-Subaie,ammar.al-subaie@example.com,55825802,5/20/2017,Business Development,Product Manager,Alinma Bank
Saif Al-Sharif,saif.al-sharif@example.com,59238506,05/02/2017,Logistics,Software Engineer,SABIC
Saud Al-Sharif,saud.al-sharif@example.com,56879498,4/29/2017,Research and Development,Procurement Specialist,Saudi Ports Authority
Saeed Al-Khalid,saeed.al-khalid@example.com,58272990,4/24/2017,Marketing,Training Specialist,Alinma Bank
Nasser Al-Mutairi,nasser.al-mutairi@example.com,52685896,4/22/2017,Procurement,Senior Engineer,STC
Anas Al-Mutairi,anas.al-mutairi@example.com,52822316,4/14/2017,Operations,HR Specialist,Saudi Aramco
Khalifah Al-Juhani,khalifah.al-juhani@example.com,55763778,04/09/2017,Operations,Sales Representative,Saudi Electricity Company
Hisham Al-Dosari,hisham.al-dosari@example.com,51759954,04/01/2017,Sales,Engineer,Saudi Electricity Company
Mazin Al-Asmari,mazin.al-asmari@example.com,52403625,3/27/2017,Quality Assurance,IT Specialist,Saudi Telecom Company
Fahad Al-Faisal,fahad.al-faisal@example.com,52821735,3/24/2017,Training,Business Analyst,Saudi Ports Authority
Anas Al-Asmari,anas.al-asmari@example.com,55144310,3/22/2017,Product Management,Manager,Saudi Telecom Company
Khalid Al-Subaie,khalid.al-subaie@example.com,58724185,3/21/2017,Training,Manager,Saudi Airlines
Mazin Al-Faisal,mazin.al-faisal@example.com,52576466,3/15/2017,Product Management,Business Analyst,SABIC
Saleh Al-Asmari,saleh.al-asmari@example.com,54060806,03/08/2017,Operations,Operations Specialist,Al Rajhi Bank
Bader Al-Asmari,bader.al-asmari@example.com,51775014,03/06/2017,Legal,Accountant,Alinma Bank
Khalifah Al-Othman,khalifah.al-othman@example.com,59080903,03/06/2017,Business Development,HR Specialist,Almarai
Zaid Al-Saud,zaid.al-saud@example.com,53060509,03/05/2017,Legal,Marketing Specialist,Ma’aden
Rayan Al-Sharif,rayan.al-sharif@example.com,56316214,2/23/2017,Design,Training Specialist,National Commercial Bank
Nasser Al-Rajhi,nasser.al-rajhi@example.com,52218893,2/17/2017,Sales,Operations Specialist,Saudi Ports Authority
Muath Al-Zahrani,muath.al-zahrani@example.com,56404079,02/07/2017,Design,Sales Representative,SABIC
Hisham Al-Sharif,hisham.al-sharif@example.com,57004051,1/25/2017,Legal,Software Engineer,Alinma Bank
Hamad Al-Qahtan,hamad.al-qahtan@example.com,59527996,1/23/2017,Business Development,Accountant,Saudia
Bader Al-Shammari,bader.al-shammari@example.com,58057184,1/20/2017,Business Development,Operations Specialist,SABIC
Rayan Al-Asmari,rayan.al-asmari@example.com,57004128,1/17/2017,Customer Support,Engineer,Saudi Airlines
Majid Al-Dosari,majid.al-dosari@example.com,51707557,1/16/2017,Procurement,Product Manager,National Commercial Bank
Ayman Al-Rajhi,ayman.al-rajhi@example.com,57502092,1/13/2017,Customer Success,Senior Manager,Saudi Aramco
Saleh Al-Zahrani,saleh.al-zahrani@example.com,59850268,01/11/2017,Quality Assurance,Legal Advisor,Al Rajhi Bank
Abdulrahman Al-Zahrani,abdulrahman.al-zahrani@example.com,59003944,01/04/2017,Customer Success,Product Manager,Saudi Aramco
Hisham Al-Harbi,hisham.al-harbi@example.com,54964791,01/03/2017,Procurement,Manager,Almarai
Yousef Al-Rajhi,yousef.al-rajhi@example.com,56273520,12/26/2016,Human Resources,Customer Success Manager,Saudia
Khalid Al-Ghamdi,khalid.al-ghamdi@example.com,58144821,12/11/2016,Training,Quality Assurance Engineer,Alinma Bank
Saif Al-Shammari,saif.al-shammari@example.com,59573120,12/02/2016,Engineering,Operations Specialist,STC
Nawaf Al-Faisal,nawaf.al-faisal@example.com,53867590,11/28/2016,Procurement,Manager,National Commercial Bank
Abdulaziz Al-Anazi,abdulaziz.al-anazi@example.com,54713725,11/14/2016,Research and Development,IT Specialist,Saudi Telecom Company
Talha Al-Harbi,talha.al-harbi@example.com,57819436,11/05/2016,Design,Accountant,Ma’aden
Talal Al-Juhani,talal.al-juhani@example.com,56927210,10/24/2016,Operations,Marketing Specialist,Saudi Airlines
Jaber Al-Mutairi,jaber.al-mutairi@example.com,52811825,10/24/2016,Research and Development,Senior Engineer,Alinma Bank
Nawaf Al-Ghamdi,nawaf.al-ghamdi@example.com,51853043,9/28/2016,Sales,Operations Specialist,Saudi Ports Authority
Abdulaziz Al-Faisal,abdulaziz.al-faisal@example.com,56706945,9/13/2016,Information Technology,Engineer,Saudi Airlines
Riyadh Al-Qahtani,riyadh.al-qahtani@example.com,52958959,09/12/2016,Human Resources,Legal Advisor,Almarai
Khalifah Al-Anazi,khalifah.al-anazi@example.com,52790159,09/03/2016,Sales,Sales Representative,Saudi Aramco
Hisham Al-Shammari,hisham.al-shammari@example.com,51348397,09/02/2016,Research and Development,Quality Assurance Engineer,STC
Yahya Al-Zahrani,yahya.al-zahrani@example.com,55080948,8/26/2016,Logistics,Senior Manager,Saudi Telecom Company
Bader Al-Otaibi,bader.al-otaibi@example.com,56358449,8/16/2016,Sales,Support Specialist,Saudi Ports Authority
Ammar Al-Khalid,ammar.al-khalid@example.com,53191720,08/10/2016,Product Management,Operations Specialist,Alinma Bank
Yahya Al-Subaie,yahya.al-subaie@example.com,57991653,08/03/2016,Training,IT Specialist,Saudia
Turki Al-Harbi,turki.al-harbi@example.com,59592010,6/30/2016,Design,Senior Manager,Saudi Aramco
Abdullah Al-Zahrani,abdullah.al-zahrani@example.com,53718457,6/30/2016,Engineering,Product Manager,Alinma Bank
Hisham Al-Qahtan,hisham.al-qahtan@example.com,59615020,6/28/2016,Research and Development,Business Analyst,SABIC
Yahya Al-Rashid,yahya.al-rashid@example.com,52163110,6/15/2016,Design,Quality Assurance Engineer,Ma’aden
Ayman Al-Anazi,ayman.al-anazi@example.com,54328314,5/24/2016,Product Management,Marketing Specialist,Al Rajhi Bank
Ayman Al-Sharif,ayman.al-sharif@example.com,59622277,5/19/2016,Legal,Training Specialist,SABIC
Saleh Al-Juhani,saleh.al-juhani@example.com,59597774,4/30/2016,Logistics,Quality Assurance Engineer,Saudi Telecom Company
Mansour Al-Harbi,mansour.al-harbi@example.com,52489097,4/25/2016,Quality Assurance,Support Specialist,Mobily
Talal Al-Anazi,talal.al-anazi@example.com,58570357,4/21/2016,Design,Sales Representative,STC
Sultan Al-Mutairi,sultan.al-mutairi@example.com,57195381,4/15/2016,Logistics,Marketing Specialist,Al Rajhi Bank
Mohammed Al-Dosari,mohammed.al-dosari@example.com,56437243,4/14/2016,Engineering,Senior Manager,STC
Hassan Al-Anazi,hassan.al-anazi@example.com,55424133,3/21/2016,Training,Marketing Specialist,SABIC
Hani Al-Otaibi,hani.al-otaibi@example.com,54220923,03/11/2016,Customer Support,Engineer,SABIC
Saif Al-Otaibi,saif.al-otaibi@example.com,53654364,03/04/2016,Marketing,Engineer,Saudi Aramco
Jaber Al-Harbi,jaber.al-harbi@example.com,52031481,2/28/2016,Finance,Senior Engineer,Almarai
Rayan Al-Mutairi,rayan.al-mutairi@example.com,55035023,2/16/2016,Design,Sales Representative,National Commercial Bank
Jaber Al-Qahtani,jaber.al-qahtani@example.com,51488800,1/30/2016,Design,Marketing Specialist,National Commercial Bank
Nasser Al-Mutairi,nasser.al-mutairi@example.com,57418109,1/21/2016,Logistics,Customer Success Manager,Saudi Electricity Company
Bader Al-Zahrani,bader.al-zahrani@example.com,52630985,1/18/2016,Human Resources,Senior Manager,Saudi Electricity Company
Talal Al-Otaibi,talal.al-otaibi@example.com,57403442,01/12/2016,Marketing,Sales Representative,Saudi Ports Authority
Abdulrahman Al-Dosari,abdulrahman.al-dosari@example.com,59970132,12/27/2015,Legal,Senior Manager,Almarai
Rashed Al-Harbi,rashed.al-harbi@example.com,59415497,12/21/2015,Research and Development,Procurement Specialist,Almarai
Adel Al-Qahtan,adel.al-qahtan@example.com,58021664,12/06/2015,Finance,Operations Specialist,Almarai
Hani Al-Ghamdi,hani.al-ghamdi@example.com,55607971,11/29/2015,Quality Assurance,Quality Assurance Engineer,Saudia
Omar Al-Zahrani,omar.al-zahrani@example.com,52691134,11/28/2015,Operations,Quality Assurance Engineer,Saudi Electricity Company
Ammar Al-Shammari,ammar.al-shammari@example.com,59259897,11/22/2015,Research and Development,Marketing Specialist,SABIC
Hamad Al-Asmari,hamad.al-asmari@example.com,58664146,11/17/2015,Engineering,Customer Success Manager,SABIC
Saud Al-Juhani,saud.al-juhani@example.com,59330119,11/16/2015,Marketing,Senior Manager,STC
Nasser Al-Zahrani,nasser.al-zahrani@example.com,58906097,11/15/2015,Customer Support,Marketing Specialist,Saudi Aramco
Abdulrahman Al-Shammari,abdulrahman.al-shammari@example.com,58069756,11/11/2015,Marketing,Manager,Saudi Telecom Company
Mohammed Al-Otaibi,mohammed.al-otaibi@example.com,54477160,11/11/2015,Human Resources,Business Analyst,Alinma Bank
Nasser Al-Ghamdi,nasser.al-ghamdi@example.com,59895359,11/07/2015,Marketing,Customer Success Manager,Almarai
Mohammed Al-Harbi,mohammed.al-harbi@example.com,58801759,11/06/2015,Research and Development,Manager,Saudi Airlines
Jaber Al-Othman,jaber.al-othman@example.com,53225371,10/19/2015,Finance,Training Specialist,Alinma Bank
